Group Names,Entity Name,Capability Name,Template Name,Assessment Date,Assessment Number,Total Votes,Total Abstains,Rating,Dimension,Outcomes,Goal, Impediment,Notes,Criteria,Criteria Stage,Criteria Selections,Criteria Percent Selected
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Definition of Ready @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Predictability",N,N,"","The value of each Product Backlog Item (PBI) e.g User Story is clearly articulated","Developing",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Discovery @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"","The team uses Design Thinking tools such as customer journey maps and personas to generate insights about customer problems","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Discovery @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"","The team uses Discovery activities to mitigate usability and feasibility risks","Developing",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Discovery @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"","The team regularly dedicates time to Discovery (i.e., design sprints, spikes, etc.) to explore potential solutions for customer problems","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Discovery @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation; Responsiveness",N,N,"","The team typically tests ideas in its production environment","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Enterprise Transparency of Work @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Employee Satisfaction; Responsiveness; Predictability",N,N,"","Team progress towards short term goals (sprint commitments) and blockers from achieving them are visible","Developing",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Enterprise Transparency of Work @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Employee Satisfaction; Responsiveness; Predictability",N,N,"","Info about what IT work is in flight and it's progress is available, but it typically needs to be pursued","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Enterprise Transparency of Work @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Employee Satisfaction; Responsiveness; Predictability",N,N,"","Problems fester and become a blocker at the last minute, leading to finger pointing and finding fault","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Enterprise Transparency of Work @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Employee Satisfaction; Responsiveness; Predictability",N,N,"","Visibility about what work is in flight and the progress of it is provided on a need to know basis","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Quality @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","""Acceptance Testing Completed"" is part of the Definition of Done for PBIs completed in an iteration (i.e., Sprint)","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Quality @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","Teams or Teams of Teams (Program) have a shared Product Backlog Item (PBI)I Definition of Done that can be extended for their own purposes","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Quality @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","Teams or Teams of Teams (Program) have dedicated QA skilled people (i.e., testers)","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Quality @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","Developers write unit tests as part of story development for widely-used/high volume products","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Quality @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","All contributors to the Teams or Teams of Teams (Program) have a holistic view towards quality and feels accountable for it","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Quality @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","There is a lack of shared standards exist across the Teams or Teams of Teams (Program) for quality","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Quality @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","Quality is an afterthought for the Teams or Teams of Teams (Program); only the necessary parties need to worry about it in the end","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Value @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation",N,N,"","A wide range of contributors including those doing the work, are included in the prioritization and valuation","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Value @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation",N,N,"","The vision and goals is used to drive Product Backlog prioritization and refinement","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Value @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation",N,N,"","We can articulate the ""WHY"" behind a priority decision to stakeholders in terms of value and outcomes","Emerging",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Value @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation",N,N,"","We use measures such as NPS, customer usage, and sales targets are used to inform value-based priority decisions","Emerging",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Value @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation",N,N,"","We use prioritization techniques which include value as a core factor in consideration","Emerging",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Value @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation",N,N,"","Customer impact is rarely measured","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Value @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation",N,N,"","We have a common understanding of our  purpose and the value we are creating for the customer and business","Developing",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Focus on Value @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Value Driven,"Customer Satisfaction; Employee Satisfaction; Innovation",N,N,"","Our focus is mostly on deliverables and outputs","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Meeting Effectiveness @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Dynamics,"Time to Market; Employee Satisfaction",N,N,"","Team members typically voice their displeasure with meetings","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Meeting Effectiveness @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Dynamics,"Time to Market; Employee Satisfaction",N,N,"","Team members are not very engaged","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Meeting Effectiveness @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Dynamics,"Time to Market; Employee Satisfaction",N,N,"","Meetings are typically dominated by a few","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Meeting Effectiveness @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Dynamics,"Time to Market; Employee Satisfaction",N,N,"","The team has a purpose and agenda for each meeting","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Meeting Effectiveness @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Dynamics,"Time to Market; Employee Satisfaction",N,N,"","The team is aware and abides by the time box","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Meeting Effectiveness @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Dynamics,"Time to Market; Employee Satisfaction",N,N,"","Helpful Resources: Meetings & Agendas","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Meeting Effectiveness @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Dynamics,"Time to Market; Employee Satisfaction",N,N,"","Effective use of required versus optional attendees","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Meeting Effectiveness @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Dynamics,"Time to Market; Employee Satisfaction",N,N,"","Calendar availability is respected, no overbooking without consultation or booking out of local working hours","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Meeting Effectiveness @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Dynamics,"Time to Market; Employee Satisfaction",N,N,"","People are prepared for the meeting","Emerging",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Meeting Effectiveness @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Dynamics,"Time to Market; Employee Satisfaction",N,N,"","The right people are always at the team's meetings","Emerging",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Meeting Effectiveness @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,1.000000,Dynamics,"Time to Market; Employee Satisfaction",N,N,"","The team only schedules a meeting when we absolutely have to with exception of core scrum or WILO (Week in the Life Of) recurring meetings.","Emerging",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Metrics & Reporting @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Improve,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","The team doesn't use Metrics to drive feedback, improvement, and decision making","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Metrics & Reporting @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Improve,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Lacking a data mindset or culture of data inclusion in team approaches to their work","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Metrics & Reporting @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Improve,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Helpful Resource: Ways of Working Metrics & Reporting Module","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Metrics & Reporting @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Improve,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Status reports lack data traceability and rely on impressions from small group of people.","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Metrics & Reporting @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Improve,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","The Metrics are actionable and drive improvements","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Metrics & Reporting @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Improve,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","The team tracks Metrics","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Metrics & Reporting @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Improve,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Throughput is measured","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Metrics & Reporting @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Improve,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Backlog / Queue Quality & Data Integrity is measured","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Metrics & Reporting @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Improve,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","IF Scrum - Sprint Scope Stability (i.e. are we delivering to sprint commitments) is measured","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Metrics & Reporting @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Improve,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Quality (i.e., escaped defects) is measured","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","PI (Program Increment) / Quarterly Readiness & Planning @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Logistics for the PI Planning event are smooth, coordinated and clearly understood, including people who may be remote","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","PI (Program Increment) / Quarterly Readiness & Planning @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Participants feel it helps foster communication between program members and stakeholders","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","PI (Program Increment) / Quarterly Readiness & Planning @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","The inputs to PI or Quarterly Planning are business context, roadmap, vision as well as the top 10 features of the Program Backlog","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","PI (Program Increment) / Quarterly Readiness & Planning @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Planning PI Readiness: There is no sense of PI Planning/Quarterly Planning readiness for the Program","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","PI (Program Increment) / Quarterly Readiness & Planning @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Planning Event: There is no PI or Quarterly Planning event","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Roadmaps @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Time to Market; Customer Satisfaction; Responsiveness; Predictability",N,N,"","Uses Roadmaps to effectively communicate forecasted delivery targets, show progress, and gain feedback","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Roadmaps @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Time to Market; Customer Satisfaction; Responsiveness; Predictability",N,N,"","Regularly updates the Roadmaps to reflect external requested changes and internal progress changes","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Roadmaps @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Time to Market; Customer Satisfaction; Responsiveness; Predictability",N,N,"","The Program maintains a Product and Delivery Roadmap given Organizational and Customer needs","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Roadmaps @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Adapt,"Time to Market; Customer Satisfaction; Responsiveness; Predictability",N,N,"","No artifacts exist that communicate to stakeholders priorities, capacity constraints, and release tempo for delivering value","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Team Leadership Engagement @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Leadership,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Focuses on eliminating waste and removing impediments","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Team Leadership Engagement @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Leadership,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Has feedback mechanisms in place to get input from the people doing the work on process and tool improvements","Developing",1,50.00
